Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
FRES:LN,Fresnillo PLC,4120,120.00,2.83%,850.406 K,11:38 AM,2026-03-02T21:27:55.836Z
HSBA:LN,HSBC Holdings PLC,1332,61.60,4.42%,14.67 M,11:37 AM,2026-03-02T21:27:55.836Z
IHG:LN,InterContinental Hotels Group PLC,131.8,5.70,4.15%,714.798 K,11:39 AM,2026-03-02T21:27:55.836Z
HLMA:LN,Halma PLC,4122,62.00,1.48%,709.043 K,11:35 AM,2026-03-02T21:27:55.836Z
HWDN:LN,Howden Joinery Group PLC,951,19.00,1.96%,2.059 M,11:35 AM,2026-03-02T21:27:55.836Z
GLEN:LN,Glencore PLC,534.4,0.40,0.07%,20.398 M,11:36 AM,2026-03-02T21:27:55.836Z
EZJ:LN,easyJet PLC,450,14.00,3.02%,6.622 M,11:38 AM,2026-03-02T21:27:55.836Z
CPG:LN,Compass Group PLC,2253,25.00,1.10%,2.975 M,11:39 AM,2026-03-02T21:27:55.836Z
EXPN:LN,Experian PLC,2727,59.00,2.12%,3.077 M,11:35 AM,2026-03-02T21:27:55.836Z
DPLM:LN,Diploma PLC,5595,80.00,1.41%,285.932 K,11:39 AM,2026-03-02T21:27:55.836Z
MRO:LN,Melrose Industries PLC,559.2,6.60,1.17%,5.172 M,11:35 AM,2026-03-02T21:27:55.836Z
LMP:LN,LondonMetric Property PLC,212.6,2.40,1.12%,16.306 M,11:35 AM,2026-03-02T21:27:55.836Z
IMB:LN,Imperial Brands PLC,3296,29.00,0.87%,1.011 M,11:35 AM,2026-03-02T21:27:55.836Z
LAND:LN,Land Securities Group PLC,640,6.50,1.01%,2.639 M,11:39 AM,2026-03-02T21:27:55.836Z
PRU:LN,Prudential PLC,1116.5,21.00,1.85%,4.221 M,11:37 AM,2026-03-02T21:27:55.836Z
ITRK:LN,Intertek Group PLC,4742,20.00,0.42%,385.983 K,11:35 AM,2026-03-02T21:27:55.836Z
LLOY:LN,Lloyds Banking Group PLC,99.92,2.53,2.47%,185.272 M,11:39 AM,2026-03-02T21:27:55.836Z
PSON:LN,Pearson PLC,954.4,5.40,0.56%,2.58 M,11:36 AM,2026-03-02T21:27:55.836Z
MNG:LN,M&G PLC,314.4,3.30,1.04%,5.468 M,11:35 AM,2026-03-02T21:27:55.836Z
LGEN:LN,Legal & General Group PLC,266.9,4.40,1.62%,19.586 M,11:35 AM,2026-03-02T21:27:55.836Z
IMI:LN,IMI PLC,2836,44.00,1.53%,647.651 K,11:35 AM,2026-03-02T21:27:55.836Z
PSN:LN,Persimmon PLC,1461,45.00,2.99%,1.322 M,11:35 AM,2026-03-02T21:27:55.836Z
NXT:LN,Next PLC,13235,285.00,2.11%,261.989 K,11:36 AM,2026-03-02T21:27:55.836Z
PSH:LN,Pershing Square Holdings Ltd/Fund,4220,102.00,2.36%,150.324 K,11:35 AM,2026-03-02T21:27:55.836Z
JD/:LN,JD Sports Fashion PLC,77.88,4.10,5.00%,15.515 M,11:35 AM,2026-03-02T21:27:55.836Z
MKS:LN,Marks & Spencer Group PLC,382,14.50,3.66%,4.968 M,11:35 AM,2026-03-02T21:27:55.836Z
MTLN:LN,Metlen Energy & Metals PLC,35.5,0.05,0.14%,261.025 K,11:39 AM,2026-03-02T21:27:55.836Z
NWG:LN,NatWest Group PLC,601,18.00,2.91%,16.939 M,11:35 AM,2026-03-02T21:27:55.836Z
INF:LN,Informa PLC,801.2,37.00,4.41%,4.947 M,11:35 AM,2026-03-02T21:27:55.836Z
PCT:LN,Polar Capital Technology Trust PLC,509,2.00,0.39%,3.081 M,11:37 AM,2026-03-02T21:27:55.836Z
REL:LN,RELX PLC,2575,9.00,0.35%,9.297 M,11:35 AM,2026-03-02T21:27:55.836Z
KGF:LN,Kingfisher PLC,361.8,8.70,2.35%,3.299 M,11:39 AM,2026-03-02T21:27:55.836Z
LSEG:LN,London Stock Exchange Group PLC,8776,84.00,0.95%,1.184 M,11:35 AM,2026-03-02T21:27:55.836Z
MNDI:LN,Mondi PLC,851,36.20,4.08%,1.529 M,11:35 AM,2026-03-02T21:27:55.836Z
NG/:LN,National Grid PLC,1400,9.00,0.65%,9 M,11:39 AM,2026-03-02T21:27:55.836Z
SDR:LN,Schroders PLC,586.5,0.50,0.09%,5.82 M,11:39 AM,2026-03-02T21:27:55.836Z
SGRO:LN,Segro PLC,827.2,14.00,1.66%,2.413 M,11:35 AM,2026-03-02T21:27:55.836Z
SHEL:LN,Shell PLC,3132,58.50,1.90%,12.945 M,11:37 AM,2026-03-02T21:27:55.836Z
SPX:LN,Spirax Group PLC,7780,125.00,1.58%,130.605 K,11:39 AM,2026-03-02T21:27:55.836Z
RTO:LN,Rentokil Initial PLC,451,5.20,1.14%,6.559 M,11:39 AM,2026-03-02T21:27:55.836Z
VOD:LN,Vodafone Group PLC,112.75,1.75,1.53%,50.636 M,11:39 AM,2026-03-02T21:27:55.836Z
RMV:LN,Rightmove PLC,444.5,2.90,0.65%,3.624 M,11:36 AM,2026-03-02T21:27:55.836Z
RR/:LN,Rolls-Royce Holdings PLC,1354,20.50,1.54%,26.251 M,11:41 AM,2026-03-02T21:27:55.836Z
SGE:LN,Sage Group PLC/The,840,18.20,2.21%,4.91 M,11:36 AM,2026-03-02T21:27:55.836Z
WTB:LN,Whitbread PLC,2541,59.00,2.27%,489.841 K,11:35 AM,2026-03-02T21:27:55.836Z
WEIR:LN,Weir Group PLC/The,3508,14.00,0.40%,713.099 K,11:37 AM,2026-03-02T21:27:55.836Z
STAN:LN,Standard Chartered PLC,1735,97.00,5.29%,6.573 M,11:37 AM,2026-03-02T21:27:55.836Z
SDLF:LN,Standard Life PLC,744,23.00,3.00%,2.256 M,11:36 AM,2026-03-02T21:27:55.836Z
RKT:LN,Reckitt Benckiser Group PLC,6360,152.00,2.33%,776.86 K,11:39 AM,2026-03-02T21:27:55.836Z
STJ:LN,St James's Place PLC,1319,31.00,2.30%,1.145 M,11:39 AM,2026-03-02T21:27:55.836Z
SVT:LN,Severn Trent PLC,3273,7.00,0.21%,668.279 K,11:39 AM,2026-03-02T21:27:55.836Z
SMT:LN,Scottish Mortgage Investment Trust PLC,1209,28.50,2.30%,2.21 M,11:37 AM,2026-03-02T21:27:55.836Z
TSCO:LN,Tesco PLC,476.7,3.90,0.81%,8.809 M,11:38 AM,2026-03-02T21:27:55.836Z
SMIN:LN,Smiths Group PLC,2704,42.00,1.53%,1.647 M,11:36 AM,2026-03-02T21:27:55.836Z
SSE:LN,SSE PLC,2693,4.00,0.15%,2.741 M,11:39 AM,2026-03-02T21:27:55.836Z
SN/:LN,Smith & Nephew PLC,1313,58.50,4.27%,4.963 M,11:39 AM,2026-03-02T21:27:55.836Z
SBRY:LN,J Sainsbury PLC,344,5.00,1.43%,10.852 M,11:35 AM,2026-03-02T21:27:55.836Z
RIO:LN,Rio Tinto PLC,7336,1.00,0.01%,1.522 M,11:39 AM,2026-03-02T21:27:55.836Z
UU/:LN,United Utilities Group PLC,1391,2.00,0.14%,1.093 M,11:37 AM,2026-03-02T21:27:55.836Z
ULVR:LN,Unilever PLC,5326,141.00,2.58%,2.816 M,11:37 AM,2026-03-02T21:27:55.836Z
