Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
III:LN,3i Group PLC,2929,-258.00,-8.10%,1.887 M,11:39 AM,2026-03-05T20:58:05.025Z
ICG:LN,ICG PLC,1632,-10.00,-0.61%,716.062 K,11:37 AM,2026-03-05T20:58:05.025Z
CRDA:LN,Croda International PLC,2839,-8.00,-0.28%,379.696 K,11:36 AM,2026-03-05T20:58:05.025Z
HLN:LN,Haleon PLC,381.2,-5.60,-1.45%,15.663 M,11:38 AM,2026-03-05T20:58:05.025Z
DCC:LN,DCC PLC,4824,+8.00,+0.17%,461.378 K,11:35 AM,2026-03-05T20:58:05.025Z
ENT:LN,Entain PLC,584.8,+6.60,+1.14%,2.647 M,11:37 AM,2026-03-05T20:58:05.025Z
CTEC:LN,Convatec Group PLC,248.6,+5.40,+2.22%,7.956 M,11:37 AM,2026-03-05T20:58:05.025Z
IAG:LN,International Consolidated Airlines Group SA,372.2,-14.00,-3.63%,18.449 M,11:37 AM,2026-03-05T20:58:05.025Z
GSK:LN,GSK PLC,2076,-39.00,-1.84%,4.823 M,11:37 AM,2026-03-05T20:58:05.025Z
DGE:LN,Diageo PLC,1544,+24.00,+1.58%,6.468 M,11:38 AM,2026-03-05T20:58:05.025Z
HIK:LN,Hikma Pharmaceuticals PLC,1210,-39.00,-3.12%,1.274 M,11:36 AM,2026-03-05T20:58:05.025Z
HSX:LN,Hiscox Ltd,1470,-12.00,-0.81%,862.208 K,11:37 AM,2026-03-05T20:58:05.025Z
EDV:LN,Endeavour Mining PLC,4566,-282.00,-5.82%,487.445 K,11:35 AM,2026-03-05T20:58:05.025Z
FRES:LN,Fresnillo PLC,3572,-280.00,-7.27%,798.022 K,11:35 AM,2026-03-05T20:58:05.025Z
HSBA:LN,HSBC Holdings PLC,1278.8,-12.60,-0.98%,14.624 M,11:36 AM,2026-03-05T20:58:05.025Z
IHG:LN,InterContinental Hotels Group PLC,131.65,-2.25,-1.68%,445.178 K,11:37 AM,2026-03-05T20:58:05.025Z
HLMA:LN,Halma PLC,3956,-66.00,-1.64%,754.107 K,11:35 AM,2026-03-05T20:58:05.025Z
HWDN:LN,Howden Joinery Group PLC,873.5,-18.50,-2.07%,1.33 M,11:38 AM,2026-03-05T20:58:05.025Z
GLEN:LN,Glencore PLC,515.3,-13.10,-2.48%,22.556 M,11:39 AM,2026-03-05T20:58:05.025Z
EZJ:LN,easyJet PLC,412,-21.70,-5.00%,7.893 M,11:35 AM,2026-03-05T20:58:05.025Z
CPG:LN,Compass Group PLC,2306,+71.00,+3.18%,3.424 M,11:37 AM,2026-03-05T20:58:05.025Z
EXPN:LN,Experian PLC,2755,+70.00,+2.61%,2.504 M,11:38 AM,2026-03-05T20:58:05.025Z
DPLM:LN,Diploma PLC,5360,-30.00,-0.56%,239.537 K,11:37 AM,2026-03-05T20:58:05.025Z
MRO:LN,Melrose Industries PLC,540.4,-16.60,-2.98%,4.044 M,11:36 AM,2026-03-05T20:58:05.025Z
LMP:LN,LondonMetric Property PLC,206.2,-4.00,-1.90%,8.906 M,11:38 AM,2026-03-05T20:58:05.025Z
IMB:LN,Imperial Brands PLC,3176,-94.00,-2.87%,1.632 M,11:37 AM,2026-03-05T20:58:05.025Z
LAND:LN,Land Securities Group PLC,620,-7.00,-1.12%,2.654 M,11:37 AM,2026-03-05T20:58:05.025Z
PRU:LN,Prudential PLC,1090.5,-8.50,-0.77%,4.169 M,11:35 AM,2026-03-05T20:58:05.025Z
ITRK:LN,Intertek Group PLC,4044,+10.00,+0.25%,705.418 K,11:35 AM,2026-03-05T20:58:05.025Z
LLOY:LN,Lloyds Banking Group PLC,96.9,-1.38,-1.40%,148.848 M,11:38 AM,2026-03-05T20:58:05.025Z
PSON:LN,Pearson PLC,976.6,-1.00,-0.10%,2.135 M,11:37 AM,2026-03-05T20:58:05.025Z
MNG:LN,M&G PLC,304.5,-4.80,-1.55%,4.693 M,11:37 AM,2026-03-05T20:58:05.025Z
LGEN:LN,Legal & General Group PLC,257.9,-2.10,-0.81%,16.198 M,11:37 AM,2026-03-05T20:58:05.025Z
IMI:LN,IMI PLC,2752,-46.00,-1.64%,583.771 K,11:35 AM,2026-03-05T20:58:05.025Z
PSN:LN,Persimmon PLC,1320,-34.00,-2.51%,1.322 M,11:35 AM,2026-03-05T20:58:05.025Z
NXT:LN,Next PLC,13245,-90.00,-0.67%,239.585 K,11:36 AM,2026-03-05T20:58:05.025Z
PSH:LN,Pershing Square Holdings Ltd/Fund,4132,-66.00,-1.57%,161.616 K,11:35 AM,2026-03-05T20:58:05.025Z
JD/:LN,JD Sports Fashion PLC,76.98,+1.34,+1.77%,10.408 M,11:37 AM,2026-03-05T20:58:05.025Z
MKS:LN,Marks & Spencer Group PLC,378.1,-0.40,-0.11%,3.844 M,11:35 AM,2026-03-05T20:58:05.025Z
MTLN:LN,Metlen Energy & Metals PLC,34.2,-1.90,-5.26%,162.183 K,11:35 AM,2026-03-05T20:58:05.025Z
NWG:LN,NatWest Group PLC,586,-8.80,-1.48%,12.441 M,11:39 AM,2026-03-05T20:58:05.025Z
INF:LN,Informa PLC,805.4,-6.20,-0.76%,3.258 M,11:37 AM,2026-03-05T20:58:05.025Z
PCT:LN,Polar Capital Technology Trust PLC,498.5,-4.50,-0.89%,1.917 M,11:35 AM,2026-03-05T20:58:05.025Z
REL:LN,RELX PLC,2623,+70.00,+2.74%,4.702 M,11:38 AM,2026-03-05T20:58:05.025Z
KGF:LN,Kingfisher PLC,343.4,-3.60,-1.04%,5.047 M,11:37 AM,2026-03-05T20:58:05.025Z
LSEG:LN,London Stock Exchange Group PLC,8744,+84.00,+0.97%,1.811 M,11:37 AM,2026-03-05T20:58:05.025Z
MNDI:LN,Mondi PLC,855,+12.00,+1.42%,1.124 M,11:36 AM,2026-03-05T20:58:05.025Z
NG/:LN,National Grid PLC,1352,+7.00,+0.52%,11.622 M,11:39 AM,2026-03-05T20:58:05.025Z
SDR:LN,Schroders PLC,585.5,+0.00,+0.00%,4.717 M,11:35 AM,2026-03-05T20:58:05.025Z
SGRO:LN,Segro PLC,777,-28.00,-3.48%,3.85 M,11:37 AM,2026-03-05T20:58:05.025Z
SHEL:LN,Shell PLC,3108,+44.50,+1.45%,6.763 M,11:38 AM,2026-03-05T20:58:05.025Z
SPX:LN,Spirax Group PLC,7410,-135.00,-1.79%,207.765 K,11:36 AM,2026-03-05T20:58:05.025Z
RTO:LN,Rentokil Initial PLC,471.2,+45.70,+10.74%,19.246 M,11:37 AM,2026-03-05T20:58:05.025Z
VOD:LN,Vodafone Group PLC,109.8,-1.70,-1.52%,35.644 M,11:37 AM,2026-03-05T20:58:05.025Z
RMV:LN,Rightmove PLC,441.6,+5.60,+1.28%,3.07 M,11:37 AM,2026-03-05T20:58:05.025Z
RR/:LN,Rolls-Royce Holdings PLC,1290,-73.00,-5.36%,17.881 M,11:38 AM,2026-03-05T20:58:05.025Z
SGE:LN,Sage Group PLC/The,834.2,+0.80,+0.10%,7.448 M,11:37 AM,2026-03-05T20:58:05.025Z
WTB:LN,Whitbread PLC,2554,+12.00,+0.47%,649.687 K,11:39 AM,2026-03-05T20:58:05.025Z
WEIR:LN,Weir Group PLC/The,3094,+54.00,+1.78%,1.492 M,11:39 AM,2026-03-05T20:58:05.025Z
STAN:LN,Standard Chartered PLC,1680.5,-34.00,-1.98%,7.381 M,11:36 AM,2026-03-05T20:58:05.025Z
SDLF:LN,Standard Life PLC,726,-5.50,-0.75%,1.573 M,11:38 AM,2026-03-05T20:58:05.025Z
RKT:LN,Reckitt Benckiser Group PLC,5700,-350.00,-5.79%,3.031 M,11:38 AM,2026-03-05T20:58:05.025Z
STJ:LN,St James's Place PLC,1306,-25.50,-1.92%,1.095 M,11:36 AM,2026-03-05T20:58:05.025Z
SVT:LN,Severn Trent PLC,3194,+0.00,+0.00%,481.659 K,11:37 AM,2026-03-05T20:58:05.025Z
SMT:LN,Scottish Mortgage Investment Trust PLC,1182.5,-16.50,-1.38%,1.186 M,11:39 AM,2026-03-05T20:58:05.025Z
TSCO:LN,Tesco PLC,469.3,-6.90,-1.45%,14.506 M,11:37 AM,2026-03-05T20:58:05.025Z
SMIN:LN,Smiths Group PLC,2624,-50.00,-1.87%,766.464 K,11:35 AM,2026-03-05T20:58:05.025Z
SSE:LN,SSE PLC,2639,-14.00,-0.53%,2.701 M,11:37 AM,2026-03-05T20:58:05.025Z
SN/:LN,Smith & Nephew PLC,1306,-30.00,-2.25%,2.565 M,11:38 AM,2026-03-05T20:58:05.025Z
SBRY:LN,J Sainsbury PLC,347.8,-0.40,-0.11%,7.333 M,11:37 AM,2026-03-05T20:58:05.025Z
RIO:LN,Rio Tinto PLC,6787,-212.45,-3.04%,2.422 M,11:37 AM,2026-03-05T20:58:05.025Z
UU/:LN,United Utilities Group PLC,1362.5,+1.50,+0.11%,1.569 M,11:37 AM,2026-03-05T20:58:05.025Z
ULVR:LN,Unilever PLC,5056,-59.00,-1.15%,3.381 M,11:37 AM,2026-03-05T20:58:05.025Z
