Ticker,Name,Price,Change,% Change,Volume,Time,Timestamp
AAL:LN,Anglo American PLC,3518,+66.00,+1.91%,3.996 M,11:38 AM,2026-03-04T17:27:56.756Z
ABF:LN,Associated British Foods PLC,1926.5,+21.00,+1.10%,953.14 K,11:36 AM,2026-03-04T17:27:56.756Z
BKG:LN,Berkeley Group Holdings PLC,4120,+0.00,+0.00%,351.547 K,11:35 AM,2026-03-04T17:27:56.756Z
BP/:LN,BP PLC,481.25,-11.75,-2.38%,40.379 M,11:37 AM,2026-03-04T17:27:56.756Z
CCEP:LN,Coca-Cola Europacific Partners PLC,7760,-110.00,-1.40%,195.796 K,11:39 AM,2026-03-04T17:27:56.756Z
BTRW:LN,Barratt Redrow PLC,329.1,-10.40,-3.06%,6.869 M,11:35 AM,2026-03-04T17:27:56.756Z
GAW:LN,Games Workshop Group PLC,17340,+280.00,+1.64%,109.6 K,11:39 AM,2026-03-04T17:27:56.756Z
FCIT:LN,F&C Investment Trust PLC,1260,+21.00,+1.69%,565.969 K,11:35 AM,2026-03-04T17:27:56.756Z
III:LN,3i Group PLC,3187,+67.00,+2.15%,1.338 M,11:38 AM,2026-03-04T17:27:56.756Z
ICG:LN,ICG PLC,1642,+54.00,+3.40%,1.019 M,11:36 AM,2026-03-04T17:27:56.756Z
CRDA:LN,Croda International PLC,2847,-25.00,-0.87%,401.589 K,11:38 AM,2026-03-04T17:27:56.756Z
HLN:LN,Haleon PLC,386.8,-2.10,-0.54%,12.291 M,11:39 AM,2026-03-04T17:27:56.756Z
DCC:LN,DCC PLC,4816,-24.00,-0.50%,470.363 K,11:38 AM,2026-03-04T17:27:56.756Z
ENT:LN,Entain PLC,578.2,+22.00,+3.96%,2.347 M,11:36 AM,2026-03-04T17:27:56.756Z
CTEC:LN,Convatec Group PLC,243.2,+5.80,+2.44%,5.677 M,11:38 AM,2026-03-04T17:27:56.756Z
IAG:LN,International Consolidated Airlines Group SA,386.2,+7.50,+1.98%,26.34 M,11:38 AM,2026-03-04T17:27:56.756Z
GSK:LN,GSK PLC,2115,-7.00,-0.33%,5.264 M,11:38 AM,2026-03-04T17:27:56.756Z
DGE:LN,Diageo PLC,1520,-45.00,-2.88%,6.527 M,11:37 AM,2026-03-04T17:27:56.756Z
HIK:LN,Hikma Pharmaceuticals PLC,1249,+2.00,+0.16%,1.106 M,11:35 AM,2026-03-04T17:27:56.756Z
HSX:LN,Hiscox Ltd,1482,-3.00,-0.20%,1.354 M,11:38 AM,2026-03-04T17:27:56.756Z
EDV:LN,Endeavour Mining PLC,4848,-18.00,-0.37%,723.084 K,11:35 AM,2026-03-04T17:27:56.756Z
FRES:LN,Fresnillo PLC,3852,-44.00,-1.13%,679.603 K,11:39 AM,2026-03-04T17:27:56.756Z
HSBA:LN,HSBC Holdings PLC,1291.4,+28.60,+2.26%,21.962 M,11:37 AM,2026-03-04T17:27:56.756Z
IHG:LN,InterContinental Hotels Group PLC,133.9,+1.70,+1.29%,373.078 K,11:35 AM,2026-03-04T17:27:56.756Z
HLMA:LN,Halma PLC,4022,+62.00,+1.57%,841.755 K,11:35 AM,2026-03-04T17:27:56.756Z
HWDN:LN,Howden Joinery Group PLC,892,-15.00,-1.65%,1.751 M,11:38 AM,2026-03-04T17:27:56.756Z
GLEN:LN,Glencore PLC,528.4,+2.10,+0.40%,23.254 M,11:35 AM,2026-03-04T17:27:56.756Z
EZJ:LN,easyJet PLC,433.7,+2.20,+0.51%,6.689 M,11:39 AM,2026-03-04T17:27:56.756Z
CPG:LN,Compass Group PLC,2235,+6.00,+0.27%,2.434 M,11:35 AM,2026-03-04T17:27:56.756Z
EXPN:LN,Experian PLC,2685,+10.00,+0.37%,3.399 M,11:38 AM,2026-03-04T17:27:56.756Z
DPLM:LN,Diploma PLC,5390,+0.00,+0.00%,351.321 K,11:38 AM,2026-03-04T17:27:56.756Z
MRO:LN,Melrose Industries PLC,557,+15.20,+2.81%,6.354 M,11:37 AM,2026-03-04T17:27:56.756Z
LMP:LN,LondonMetric Property PLC,210.2,+3.00,+1.45%,7.091 M,11:38 AM,2026-03-04T17:27:56.756Z
IMB:LN,Imperial Brands PLC,3270,+73.00,+2.28%,1.719 M,11:35 AM,2026-03-04T17:27:56.756Z
LAND:LN,Land Securities Group PLC,627,+13.00,+2.12%,2.55 M,11:38 AM,2026-03-04T17:27:56.756Z
PRU:LN,Prudential PLC,1099,+20.00,+1.85%,4.938 M,11:39 AM,2026-03-04T17:27:56.756Z
ITRK:LN,Intertek Group PLC,4034,+152.00,+3.92%,934.436 K,11:35 AM,2026-03-04T17:27:56.756Z
LLOY:LN,Lloyds Banking Group PLC,98.28,+1.34,+1.38%,148.332 M,11:36 AM,2026-03-04T17:27:56.756Z
PSON:LN,Pearson PLC,977.6,+19.00,+1.98%,2.436 M,11:39 AM,2026-03-04T17:27:56.756Z
MNG:LN,M&G PLC,309.3,+6.70,+2.21%,6.488 M,11:36 AM,2026-03-04T17:27:56.756Z
LGEN:LN,Legal & General Group PLC,260,+4.20,+1.64%,18.688 M,11:35 AM,2026-03-04T17:27:56.756Z
IMI:LN,IMI PLC,2798,+54.00,+1.97%,1.003 M,11:36 AM,2026-03-04T17:27:56.756Z
PSN:LN,Persimmon PLC,1354,-20.00,-1.46%,1.758 M,11:36 AM,2026-03-04T17:27:56.756Z
NXT:LN,Next PLC,13335,+375.00,+2.89%,264.517 K,11:38 AM,2026-03-04T17:27:56.756Z
PSH:LN,Pershing Square Holdings Ltd/Fund,4198,+48.00,+1.16%,138.773 K,11:35 AM,2026-03-04T17:27:56.756Z
JD/:LN,JD Sports Fashion PLC,75.64,+1.22,+1.64%,10.486 M,11:35 AM,2026-03-04T17:27:56.756Z
MKS:LN,Marks & Spencer Group PLC,378.5,+6.30,+1.69%,4.3 M,11:35 AM,2026-03-04T17:27:56.756Z
MTLN:LN,Metlen Energy & Metals PLC,36.1,+2.50,+7.44%,221.403 K,11:39 AM,2026-03-04T17:27:56.756Z
NWG:LN,NatWest Group PLC,594.8,+8.60,+1.47%,20.356 M,11:39 AM,2026-03-04T17:27:56.756Z
INF:LN,Informa PLC,811.6,+32.60,+4.18%,3.895 M,11:38 AM,2026-03-04T17:27:56.756Z
PCT:LN,Polar Capital Technology Trust PLC,503,+13.00,+2.65%,2.83 M,11:39 AM,2026-03-04T17:27:56.756Z
REL:LN,RELX PLC,2553,-43.00,-1.66%,6.828 M,11:38 AM,2026-03-04T17:27:56.756Z
KGF:LN,Kingfisher PLC,347,+2.90,+0.84%,4.359 M,11:35 AM,2026-03-04T17:27:56.756Z
LSEG:LN,London Stock Exchange Group PLC,8660,+108.00,+1.26%,2.843 M,11:38 AM,2026-03-04T17:27:56.756Z
MNDI:LN,Mondi PLC,843,+14.60,+1.76%,1.342 M,11:38 AM,2026-03-04T17:27:56.756Z
NG/:LN,National Grid PLC,1345,-0.50,-0.04%,11.847 M,11:38 AM,2026-03-04T17:27:56.756Z
SDR:LN,Schroders PLC,585.5,+0.50,+0.09%,9.285 M,11:35 AM,2026-03-04T17:27:56.756Z
SGRO:LN,Segro PLC,805,+9.00,+1.13%,2.752 M,11:38 AM,2026-03-04T17:27:56.756Z
SHEL:LN,Shell PLC,3063.5,-49.50,-1.59%,8.564 M,11:38 AM,2026-03-04T17:27:56.756Z
SPX:LN,Spirax Group PLC,7545,+55.00,+0.73%,194.742 K,11:35 AM,2026-03-04T17:27:56.756Z
RTO:LN,Rentokil Initial PLC,425.5,-1.50,-0.35%,12.178 M,11:35 AM,2026-03-04T17:27:56.756Z
VOD:LN,Vodafone Group PLC,111.5,+0.70,+0.63%,37.253 M,11:37 AM,2026-03-04T17:27:56.756Z
RMV:LN,Rightmove PLC,436,+1.90,+0.44%,3.424 M,11:35 AM,2026-03-04T17:27:56.756Z
RR/:LN,Rolls-Royce Holdings PLC,1363,+60.00,+4.60%,25.358 M,11:39 AM,2026-03-04T17:27:56.756Z
SGE:LN,Sage Group PLC/The,833.4,-14.00,-1.65%,3.778 M,11:36 AM,2026-03-04T17:27:56.756Z
WTB:LN,Whitbread PLC,2542,+44.00,+1.76%,514.365 K,11:36 AM,2026-03-04T17:27:56.756Z
WEIR:LN,Weir Group PLC/The,3040,-362.00,-10.64%,2.387 M,11:39 AM,2026-03-04T17:27:56.756Z
STAN:LN,Standard Chartered PLC,1714.5,+33.50,+1.99%,11.267 M,11:35 AM,2026-03-04T17:27:56.756Z
SDLF:LN,Standard Life PLC,731.5,+18.50,+2.59%,2.484 M,11:35 AM,2026-03-04T17:27:56.756Z
RKT:LN,Reckitt Benckiser Group PLC,6050,-80.00,-1.31%,1.158 M,11:38 AM,2026-03-04T17:27:56.756Z
STJ:LN,St James's Place PLC,1331.5,+63.50,+5.01%,1.801 M,11:39 AM,2026-03-04T17:27:56.756Z
SVT:LN,Severn Trent PLC,3194,+25.00,+0.79%,600.806 K,11:38 AM,2026-03-04T17:27:56.756Z
SMT:LN,Scottish Mortgage Investment Trust PLC,1199,+26.50,+2.26%,1.677 M,11:38 AM,2026-03-04T17:27:56.756Z
TSCO:LN,Tesco PLC,476.2,+4.10,+0.87%,12.022 M,11:36 AM,2026-03-04T17:27:56.756Z
SMIN:LN,Smiths Group PLC,2674,+42.00,+1.60%,915.726 K,11:35 AM,2026-03-04T17:27:56.756Z
SSE:LN,SSE PLC,2653,+36.00,+1.38%,2.546 M,11:35 AM,2026-03-04T17:27:56.756Z
SN/:LN,Smith & Nephew PLC,1336,-24.00,-1.76%,2.407 M,11:36 AM,2026-03-04T17:27:56.756Z
SBRY:LN,J Sainsbury PLC,348.2,+5.00,+1.46%,7.129 M,11:35 AM,2026-03-04T17:27:56.756Z
RIO:LN,Rio Tinto PLC,7190,+90.00,+1.27%,1.813 M,11:38 AM,2026-03-04T17:27:56.756Z
UU/:LN,United Utilities Group PLC,1361,+16.00,+1.19%,1.672 M,11:38 AM,2026-03-04T17:27:56.756Z
ULVR:LN,Unilever PLC,5115,-19.00,-0.37%,3.264 M,11:38 AM,2026-03-04T17:27:56.756Z
