Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"25,013.46","3,162.00",-14.00,-0.44%,2026-03-06T17:37:18.424Z
MRO,MELROSE INDUSTRIES PLC ORD GBP0.001,GBX,"6,758.70",538.00,-2.40,-0.44%,2026-03-06T17:37:18.424Z
IHG,INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,USD,"14,897.90",131.05,-0.60,-0.46%,2026-03-06T17:37:18.424Z
BT.A,BT GROUP PLC ORD 5P,GBX,"20,672.89",206.40,-1.00,-0.48%,2026-03-06T17:37:18.424Z
RIO,RIO TINTO PLC ORD 10P,GBX,"85,173.86","6,749.00",-38.00,-0.56%,2026-03-06T17:37:18.424Z
TSCO,TESCO PLC ORD 6 1/3P,GBX,"29,965.66",466.50,-2.80,-0.60%,2026-03-06T17:37:18.424Z
SSE,SSE PLC ORD 50P,GBX,"31,989.11","2,623.00",-16.00,-0.61%,2026-03-06T17:37:18.424Z
HSX,HISCOX LD ORD 6.5P (DI),GBX,"4,773.21","1,461.00",-9.00,-0.61%,2026-03-06T17:37:18.424Z
GAW,GAMES WORKSHOP GROUP PLC ORD 5P,GBX,"5,706.68","17,160.00",-110.00,-0.64%,2026-03-06T17:37:18.424Z
JD.,JD SPORTS FASHION PLC ORD 0.05P,GBX,"3,793.58",76.44,-0.54,-0.70%,2026-03-06T17:37:18.424Z
EZJ,EASYJET PLC ORD 27 2/7P,GBX,"3,123.00",408.90,-3.10,-0.75%,2026-03-06T17:37:18.424Z
RTO,RENTOKIL INITIAL PLC ORD 1P,GBX,"11,902.70",467.60,-3.60,-0.76%,2026-03-06T17:37:18.424Z
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"7,242.88","2,216.00",-18.00,-0.81%,2026-03-06T17:37:18.424Z
MNDI,MONDI PLC ORD EUR 0.22,GBX,"3,774.08",848.00,-7.00,-0.82%,2026-03-06T17:37:18.424Z
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"39,211.93","2,287.00",-19.00,-0.82%,2026-03-06T17:37:18.424Z
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,GBX,"13,379.18","1,869.50",-17.50,-0.93%,2026-03-06T17:37:18.424Z
CCH,COCA-COLA HBC AG ORD CHF6.70 (CDI),GBX,"16,511.39","4,496.00",-46.00,-1.01%,2026-03-06T17:37:18.424Z
NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"67,212.10","1,337.50",-14.50,-1.07%,2026-03-06T17:37:18.424Z
HWDN,HOWDEN JOINERY GROUP PLC ORD 10P,GBX,"4,708.49",864.00,-9.50,-1.09%,2026-03-06T17:37:18.424Z
INF,INFORMA PLC ORD 0.1P,GBX,"10,321.40",796.60,-8.80,-1.09%,2026-03-06T17:37:18.424Z
HLN,HALEON PLC ORD GBP0.01,GBX,"33,958.76",377.00,-4.20,-1.10%,2026-03-06T17:37:18.424Z
SMIN,SMITHS GROUP PLC ORD 37.5P,GBX,"8,214.43","2,594.00",-30.00,-1.14%,2026-03-06T17:37:18.424Z
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"34,376.42","1,525.50",-18.50,-1.20%,2026-03-06T17:37:18.424Z
BBOX,TRITAX BIG BOX REIT PLC ORD 1P,GBX,"4,396.35",160.50,-2.20,-1.35%,2026-03-06T17:37:18.424Z
LGEN,LEGAL & GENERAL GROUP PLC ORD 2 1/2P,GBX,"14,694.45",254.40,-3.50,-1.36%,2026-03-06T17:37:18.424Z
VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,GBX,"25,398.40",108.30,-1.50,-1.37%,2026-03-06T17:37:18.424Z
BLND,BRITISH LAND CO PLC ORD 25P,GBX,"3,857.59",380.40,-5.40,-1.40%,2026-03-06T17:37:18.424Z
DCC,DCC PLC ORD EUR0.25 (CDI),GBX,"4,120.81","4,754.00",-70.00,-1.45%,2026-03-06T17:37:18.424Z
DPLM,DIPLOMA PLC ORD 5P,GBX,"7,199.41","5,280.00",-80.00,-1.49%,2026-03-06T17:37:18.424Z
LLOY,LLOYDS BANKING GROUP PLC ORD 10P,GBX,"57,108.56",95.42,-1.48,-1.53%,2026-03-06T17:37:18.424Z
FRES,FRESNILLO PLC ORD USD0.50,GBX,"26,321.84","3,516.00",-56.00,-1.57%,2026-03-06T17:37:18.424Z
SN.,SMITH & NEPHEW PLC ORD USD0.20,GBX,"11,099.55","1,284.50",-21.50,-1.65%,2026-03-06T17:37:18.424Z
LMP,LONDONMETRIC PROPERTY PLC ORD 10P,GBX,"4,834.17",202.80,-3.40,-1.65%,2026-03-06T17:37:18.424Z
NXT,NEXT PLC ORD 10P,GBX,"16,154.34","13,025.00",-220.00,-1.66%,2026-03-06T17:37:18.424Z
ALW,ALLIANCE WITAN PLC ORD 2.5P,GBX,"4,778.23","1,238.00",-22.00,-1.75%,2026-03-06T17:37:18.424Z
NWG,NATWEST GROUP PLC ORD 107.69P,GBX,"46,724.15",575.60,-10.40,-1.77%,2026-03-06T17:37:18.424Z
UU.,UNITED UTILITIES GROUP PLC ORD 5P,GBX,"9,290.73","1,338.00",-24.50,-1.80%,2026-03-06T17:37:18.424Z
SMT,SCOTTISH MORTGAGE INV TST PLC ORD 5P,GBX,"12,774.21","1,161.00",-21.50,-1.82%,2026-03-06T17:37:18.424Z
GSK,GSK PLC ORD 31 1/4P,GBX,"84,502.65","2,038.00",-38.00,-1.83%,2026-03-06T17:37:18.424Z
AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"229,139.82","14,500.00",-274.00,-1.85%,2026-03-06T17:37:18.424Z
LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,GBX,"4,619.24",608.50,-11.50,-1.85%,2026-03-06T17:37:18.424Z
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"4,859.76",243.80,-4.80,-1.93%,2026-03-06T17:37:18.424Z
PSN,PERSIMMON PLC ORD 10P,GBX,"4,233.87","1,294.50",-25.50,-1.93%,2026-03-06T17:37:18.424Z
RR.,ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,GBX,"108,654.50","1,265.00",-25.00,-1.94%,2026-03-06T17:37:18.424Z
SDLF,STANDARD LIFE PLC ORD 10P,GBX,"7,306.04",711.50,-14.50,-2.00%,2026-03-06T17:37:18.424Z
SBRY,SAINSBURY(J) PLC ORD 28 4/7P,GBX,"7,873.11",340.60,-7.20,-2.07%,2026-03-06T17:37:18.424Z
FCIT,F&C INVESTMENT TRUST PLC ORD 25P,GBX,"5,872.41","1,214.00",-26.00,-2.10%,2026-03-06T17:37:18.424Z
RKT,RECKITT BENCKISER GROUP PLC ORD 10 5/12P,GBX,"36,762.84","5,580.00",-120.00,-2.11%,2026-03-06T17:37:18.424Z
PCT,POLAR CAPITAL TECHNOLOGY TRUST PLC ORD 2.5P,GBX,"5,563.77",488.00,-10.50,-2.11%,2026-03-06T17:37:18.424Z
SVT,SEVERN TRENT PLC ORD 97 17/19P,GBX,"9,616.76","3,126.00",-68.00,-2.13%,2026-03-06T17:37:18.424Z
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"4,284.12","2,497.00",-57.00,-2.23%,2026-03-06T17:37:18.424Z
HLMA,HALMA PLC ORD 10P,GBX,"15,018.77","3,862.00",-94.00,-2.38%,2026-03-06T17:37:18.424Z
IAG,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),GBX,"16,991.73",363.30,-8.90,-2.39%,2026-03-06T17:37:18.424Z
ULVR,UNILEVER PLC ORD 3.5P,GBX,"110,471.02","4,935.00",-121.00,-2.39%,2026-03-06T17:37:18.424Z
STAN,STANDARD CHARTERED PLC ORD USD0.50,GBX,"37,826.76","1,640.00",-40.50,-2.41%,2026-03-06T17:37:18.424Z
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"95,414.99","4,282.00",-106.00,-2.42%,2026-03-06T17:37:18.424Z
GLEN,GLENCORE PLC ORD USD0.01,GBX,"60,472.29",502.80,-12.50,-2.43%,2026-03-06T17:37:18.424Z
SGRO,SEGRO PLC ORD 10P,GBX,"10,516.66",757.80,-19.20,-2.47%,2026-03-06T17:37:18.424Z
CRDA,CRODA INTERNATIONAL PLC ORD 10.609756P,GBX,"3,964.25","2,767.00",-72.00,-2.54%,2026-03-06T17:37:18.424Z
BTRW,BARRATT REDROW PLC ORD 10P,GBX,"4,578.52",314.00,-8.30,-2.58%,2026-03-06T17:37:18.424Z
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),GBX,"219,636.97","1,245.00",-33.80,-2.64%,2026-03-06T17:37:18.424Z
AV.,AVIVA PLC ORD 32 17/19P,GBX,"19,740.75",628.40,-17.20,-2.66%,2026-03-06T17:37:18.424Z
WEIR,WEIR GROUP PLC ORD 12.5P,GBX,"8,032.40","3,008.00",-86.00,-2.78%,2026-03-06T17:37:18.424Z
PRU,PRUDENTIAL PLC ORD 5P,GBX,"27,633.06","1,060.00",-30.50,-2.80%,2026-03-06T17:37:18.424Z
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),GBX,"34,490.19","7,460.00",-220.00,-2.86%,2026-03-06T17:37:18.424Z
ICG,ICG PLC ORD 26 1/4P,GBX,"4,733.00","1,585.00",-47.00,-2.88%,2026-03-06T17:37:18.424Z
BKG,BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.6110477936P,GBX,"3,794.80","3,898.00",-122.00,-3.03%,2026-03-06T17:37:18.424Z
BARC,BARCLAYS PLC ORD 25P,GBX,"57,522.09",404.15,-12.85,-3.08%,2026-03-06T17:37:18.424Z
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"38,024.49","3,738.00",-119.00,-3.09%,2026-03-06T17:37:18.424Z
SPX,SPIRAX GROUP PLC ORD 26 12/13P,GBX,"5,466.81","7,170.00",-240.00,-3.24%,2026-03-06T17:37:18.424Z
MKS,MARKS & SPENCER GROUP PLC ORD 1P,GBX,"7,806.43",364.00,-14.10,-3.73%,2026-03-06T17:37:18.424Z
PSH,PERSHING SQUARE HOLDINGS LTD ORD NPV,GBX,"7,249.75","3,966.00",-166.00,-4.02%,2026-03-06T17:37:18.424Z
AAF,AIRTEL AFRICA PLC ORD USD0.50,GBX,"13,013.73",342.20,-14.80,-4.15%,2026-03-06T17:37:18.424Z
AAL,ANGLO AMERICAN PLC ORD USD0.623855311355311,GBX,"39,806.32","3,231.00",-148.00,-4.38%,2026-03-06T17:37:18.424Z
KGF,KINGFISHER PLC ORD 15 5/7P,GBX,"5,808.42",325.70,-17.70,-5.15%,2026-03-06T17:37:18.424Z
