Name,Bid/Ask,Last,% Change,Date/Time,Turnover,Market Cap,YTD%,Timestamp
LEGRAND,136.35/136.40,EUR136.25,-0.76%,17:26 CET,"42,921,136.70","35,731M",7.90%,2026-03-06T17:10:34.264Z
LVMH,500.10/500.30,EUR500.50,-1.05%,17:26 CET,"173,491,113.83","249,092M",-21.58%,2026-03-06T17:10:34.264Z
MICHELIN,30.91/30.92,EUR30.88,-1.47%,17:26 CET,"21,678,457.05","21,233M",10.70%,2026-03-06T17:10:34.264Z
ORANGE,17.46/17.47,EUR17.46,-0.57%,17:25 CET,"37,342,312.92","46,431M",23.63%,2026-03-06T17:10:34.264Z
PERNOD RICARD,73.20/73.22,EUR73.16,-1.00%,17:26 CET,"12,010,002.30","18,456M",1.09%,2026-03-06T17:10:34.264Z
PUBLICIS GROUPE SA,75.36/75.42,EUR75.56,-0.32%,17:26 CET,"19,951,400.42","19,216M",-14.47%,2026-03-06T17:10:34.264Z
RENAULT,28.43/28.44,EUR28.41,-0.91%,17:25 CET,"17,174,975.39","8,401M",-19.06%,2026-03-06T17:10:34.264Z
SAFRAN,317.20/317.40,EUR317.30,0.32%,17:26 CET,"100,912,543.15","132,741M",6.36%,2026-03-06T17:10:34.264Z
SAINT GOBAIN,74.02/74.04,EUR74.08,-2.42%,17:26 CET,"88,656,454.69","36,657M",-12.70%,2026-03-06T17:10:34.264Z
SANOFI,76.23/76.25,EUR76.28,-1.87%,17:26 CET,"111,427,731.26","93,024M",-6.03%,2026-03-06T17:10:34.264Z
SCHNEIDER ELECTRIC,248.30/248.40,EUR248.30,-1.78%,17:26 CET,"122,600,368.63","143,300M",7.62%,2026-03-06T17:10:34.264Z
SOCIETE GENERALE,66.44/66.48,EUR66.42,-2.30%,17:26 CET,"164,469,062.56","49,930M",-1.08%,2026-03-06T17:10:34.264Z
STELLANTIS NV,6.17/6.17,EUR6.17,-1.88%,17:26 CET,"27,567,355.85","17,913M",-33.12%,2026-03-06T17:10:34.264Z
STMICROELECTRONICS,27.03/27.05,EUR27.07,-5.35%,17:26 CET,"48,147,868.16","24,664M",27.43%,2026-03-06T17:10:34.264Z
THALES,240.70/240.90,EUR240.90,1.90%,17:26 CET,"44,660,446.70","49,611M",2.87%,2026-03-06T17:10:34.264Z
TOTALENERGIES,67.60/67.61,EUR67.63,1.29%,17:26 CET,"317,947,778.86","148,002M",20.11%,2026-03-06T17:10:34.264Z
UNIBAIL-RODAMCO-WE,97.54/97.58,EUR97.55,-0.62%,17:26 CET,"15,789,436.29","13,982M",5.82%,2026-03-06T17:10:34.264Z
VEOLIA ENVIRON.,32.73/32.75,EUR32.72,-1.42%,17:26 CET,"31,340,512.24","24,269M",11.68%,2026-03-06T17:10:34.264Z
VINCI,128.65/128.75,EUR128.65,-2.32%,17:26 CET,"70,396,493.75","74,907M",9.70%,2026-03-06T17:10:34.264Z
