Code,Name,Currency,Market cap (m),Price,Change,Change %,Timestamp
MNDI,MONDI PLC ORD EUR 0.22,GBX,"3,601.93",835.60,19.60,2.40%,2026-03-10T17:38:30.517Z
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),GBX,"214,862.25","1,280.00",29.00,2.32%,2026-03-10T17:38:30.517Z
CRDA,CRODA INTERNATIONAL PLC ORD 10.609756P,GBX,"3,795.29","2,780.00",62.00,2.28%,2026-03-10T17:38:30.517Z
AV.,AVIVA PLC ORD 32 17/19P,GBX,"18,719.47",626.00,13.80,2.25%,2026-03-10T17:38:30.517Z
SDLF,STANDARD LIFE PLC ORD 10P,GBX,"6,948.79",706.00,15.50,2.24%,2026-03-10T17:38:30.517Z
MRO,MELROSE INDUSTRIES PLC ORD GBP0.001,GBX,"6,561.65",536.40,11.60,2.21%,2026-03-10T17:38:30.517Z
BRBY,BURBERRY GROUP PLC ORD 0.05P,GBX,"3,830.16","1,083.50",22.50,2.12%,2026-03-10T17:38:30.517Z
BBOX,TRITAX BIG BOX REIT PLC ORD 1P,GBX,"4,193.69",158.40,3.20,2.06%,2026-03-10T17:38:30.517Z
MNG,M&G PLC ORD £0.05,GBX,"7,156.36",303.10,6.10,2.05%,2026-03-10T17:38:30.517Z
DCC,DCC PLC ORD EUR0.25 (CDI),GBX,"4,006.34","4,786.00",96.00,2.05%,2026-03-10T17:38:30.517Z
MTLN,METLEN ENERGY & METALS PLC ORD EUR1.00,EUR,"4,406.82",36.30,0.70,1.97%,2026-03-10T17:38:30.517Z
FCIT,F&C INVESTMENT TRUST PLC ORD 25P,GBX,"5,752.80","1,238.00",23.00,1.89%,2026-03-10T17:38:30.517Z
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"6,945.48","1,417.00",26.00,1.87%,2026-03-10T17:38:30.517Z
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"4,660.37",242.80,4.40,1.85%,2026-03-10T17:38:30.517Z
EXPN,EXPERIAN PLC ORD USD0.10,GBX,"25,209.55","2,826.00",51.00,1.84%,2026-03-10T17:38:30.517Z
IMI,IMI PLC ORD 28 4/7P,GBX,"6,733.47","2,776.00",50.00,1.83%,2026-03-10T17:38:30.517Z
LMP,LONDONMETRIC PROPERTY PLC ORD 10P,GBX,"4,609.10",200.20,3.60,1.83%,2026-03-10T17:38:30.517Z
CCH,COCA-COLA HBC AG ORD CHF6.70 (CDI),GBX,"16,358.71","4,580.00",80.00,1.78%,2026-03-10T17:38:30.517Z
BLND,BRITISH LAND CO PLC ORD 25P,GBX,"3,653.62",371.80,6.40,1.75%,2026-03-10T17:38:30.517Z
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),GBX,"33,771.65","7,640.00",120.00,1.60%,2026-03-10T17:38:30.517Z
DPLM,DIPLOMA PLC ORD 5P,GBX,"6,870.33","5,195.00",80.00,1.56%,2026-03-10T17:38:30.517Z
LAND,LAND SECURITIES GROUP PLC ORD 10 2/3P,GBX,"4,377.10",596.50,9.00,1.53%,2026-03-10T17:38:30.517Z
HSX,HISCOX LD ORD 6.5P (DI),GBX,"4,712.51","1,474.00",22.00,1.52%,2026-03-10T17:38:30.517Z
AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"223,990.61","14,654.00",212.00,1.47%,2026-03-10T17:38:30.517Z
ENT,ENTAIN PLC ORD EUR0.01,GBX,"3,677.72",583.40,8.40,1.46%,2026-03-10T17:38:30.517Z
EZJ,EASYJET PLC ORD 27 2/7P,GBX,"2,997.93",401.20,5.70,1.44%,2026-03-10T17:38:30.517Z
SMIN,SMITHS GROUP PLC ORD 37.5P,GBX,"8,018.91","2,600.00",36.00,1.40%,2026-03-10T17:38:30.517Z
TSCO,TESCO PLC ORD 6 1/3P,GBX,"29,754.95",472.10,6.10,1.31%,2026-03-10T17:38:30.517Z
ALW,ALLIANCE WITAN PLC ORD 2.5P,GBX,"4,650.74","1,244.00",16.00,1.30%,2026-03-10T17:38:30.517Z
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"9,556.71","3,160.00",40.00,1.28%,2026-03-10T17:38:30.517Z
AUTO,AUTOTRADER GROUP PLC ORD 1P,GBX,"4,001.84",489.30,6.10,1.26%,2026-03-10T17:38:30.517Z
INF,INFORMA PLC ORD 0.1P,GBX,"9,939.50",785.20,9.60,1.24%,2026-03-10T17:38:30.517Z
NG.,NATIONAL GRID PLC ORD 12 204/473P,GBX,"66,242.69","1,348.50",16.00,1.20%,2026-03-10T17:38:30.517Z
MKS,MARKS & SPENCER GROUP PLC ORD 1P,GBX,"7,294.40",357.50,4.20,1.19%,2026-03-10T17:38:30.517Z
ITRK,INTERTEK GROUP PLC ORD 1P,GBX,"5,917.14","3,886.00",42.00,1.09%,2026-03-10T17:38:30.517Z
BT.A,BT GROUP PLC ORD 5P,GBX,"20,314.05",205.90,2.10,1.03%,2026-03-10T17:38:30.517Z
VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,GBX,"24,709.72",107.85,1.00,0.94%,2026-03-10T17:38:30.517Z
GSK,GSK PLC ORD 31 1/4P,GBX,"83,254.23","2,064.00",18.00,0.88%,2026-03-10T17:38:30.517Z
BKG,BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.6110477936P,GBX,"3,655.76","3,910.00",34.00,0.88%,2026-03-10T17:38:30.517Z
SSE,SSE PLC ORD 50P,GBX,"31,892.14","2,654.00",23.00,0.87%,2026-03-10T17:38:30.517Z
UU.,UNITED UTILITIES GROUP PLC ORD 5P,GBX,"8,949.79","1,323.50",11.00,0.84%,2026-03-10T17:38:30.517Z
KGF,KINGFISHER PLC ORD 15 5/7P,GBX,"5,318.24",317.20,2.50,0.79%,2026-03-10T17:38:30.517Z
WTB,WHITBREAD PLC ORD 76 122/153P,GBX,"4,091.22","2,453.00",14.00,0.57%,2026-03-10T17:38:30.517Z
RMV,RIGHTMOVE PLC ORD 0.1P,GBX,"3,452.57",455.80,2.40,0.53%,2026-03-10T17:38:30.517Z
HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,GBX,"2,626.86","1,197.00",6.00,0.50%,2026-03-10T17:38:30.517Z
SVT,SEVERN TRENT PLC ORD 97 17/19P,GBX,"9,261.47","3,091.00",15.00,0.49%,2026-03-10T17:38:30.517Z
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"33,864.34","1,528.00",7.00,0.46%,2026-03-10T17:38:30.517Z
IMB,IMPERIAL BRANDS PLC ORD 10P,GBX,"24,708.68","3,157.00",14.00,0.45%,2026-03-10T17:38:30.517Z
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"7,223.43","2,234.00",6.00,0.27%,2026-03-10T17:38:30.517Z
BTRW,BARRATT REDROW PLC ORD 10P,GBX,"4,296.34",303.20,0.70,0.23%,2026-03-10T17:38:30.517Z
RKT,RECKITT BENCKISER GROUP PLC ORD 10 5/12P,GBX,"35,292.32","5,482.00",10.00,0.18%,2026-03-10T17:38:30.517Z
SDR,SCHRODERS PLC ORD 20P,GBX,"9,422.66",586.00,1.00,0.17%,2026-03-10T17:38:30.517Z
NXT,NEXT PLC ORD 10P,GBX,"15,568.90","12,780.00",15.00,0.12%,2026-03-10T17:38:30.517Z
III,3I GROUP PLC ORD 73 19/22P,GBX,"29,993.01","2,930.00",3.00,0.10%,2026-03-10T17:38:30.517Z
ULVR,UNILEVER PLC ORD 3.5P,GBX,"107,138.97","4,907.00",3.50,0.07%,2026-03-10T17:38:30.517Z
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,GBX,"13,084.98","1,846.50",0.50,0.03%,2026-03-10T17:38:30.517Z
BEZ,BEAZLEY PLC ORD 5P,GBX,"7,721.69","1,288.00",-,-,2026-03-10T17:38:30.517Z
SGE,THE SAGE GROUP PLC ORD 1 4/77P,GBX,"7,883.86",841.20,-0.60,-0.07%,2026-03-10T17:38:30.517Z
PSON,PEARSON PLC ORD 25P,GBX,"6,161.27",976.40,-2.20,-0.22%,2026-03-10T17:38:30.517Z
HLN,HALEON PLC ORD GBP0.01,GBX,"33,308.45",373.00,-0.90,-0.24%,2026-03-10T17:38:30.517Z
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"67,731.54","2,249.00",-10.00,-0.44%,2026-03-10T17:38:30.517Z
SBRY,SAINSBURY(J) PLC ORD 28 4/7P,GBX,"7,615.05",334.80,-1.60,-0.48%,2026-03-10T17:38:30.517Z
RTO,RENTOKIL INITIAL PLC ORD 1P,GBX,"11,592.00",456.00,-2.90,-0.63%,2026-03-10T17:38:30.517Z
REL,RELX PLC ORD 14 51/116P,GBX,"47,666.62","2,626.00",-20.00,-0.76%,2026-03-10T17:38:30.517Z
SHEL,SHELL PLC ORD EUR0.07,GBX,"181,415.26","3,180.50",-26.50,-0.83%,2026-03-10T17:38:30.517Z
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"38,820.83","2,260.00",-23.00,-1.01%,2026-03-10T17:38:30.517Z
LSEG,LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,GBX,"43,564.69","8,550.00",-112.00,-1.29%,2026-03-10T17:38:30.517Z
SN.,SMITH & NEPHEW PLC ORD USD0.20,GBX,"10,640.61","1,232.00",-20.00,-1.60%,2026-03-10T17:38:30.517Z
BP.,BP PLC $0.25,GBX,"80,098.32",499.55,-10.45,-2.05%,2026-03-10T17:38:30.517Z
