Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-10-14,15586.40,34120.00,0.20,4,0.30,0.98,0.30,0.30,0.00,2.80,-0.0%
2025-10-15,15570.30,33975.00,0.14,4,0.30,1.00,0.30,0.30,0.00,2.79,-0.1%
2025-10-16,15645.80,34052.50,0.29,4,0.30,1.00,0.30,0.30,0.00,2.79,-0.1%
2025-10-17,15601.10,34065.00,0.18,4,0.30,1.00,0.30,0.30,0.00,2.79,-0.1%
2025-10-20,15828.30,34505.00,0.50,4,0.30,0.92,0.28,0.30,0.00,2.81,0.0%
2025-10-21,15767.10,34325.00,0.30,4,0.30,0.67,0.20,0.30,0.00,2.80,-0.2%
2025-10-22,15781.60,34372.50,0.36,4,0.30,0.68,0.20,0.30,0.00,2.80,-0.1%
2025-10-23,15792.20,34570.00,0.42,4,0.30,1.00,0.30,0.30,0.00,2.81,0.0%
2025-10-24,15861.50,34815.00,0.58,4,0.30,1.00,0.30,0.30,0.00,2.81,0.0%
2025-10-27,16000.20,35060.00,0.81,4,0.30,1.00,0.30,0.30,0.00,2.82,0.0%
2025-10-28,16087.00,35460.00,0.78,4,0.30,1.00,0.30,0.30,0.00,2.83,0.0%
2025-10-29,16150.10,35695.00,0.47,4,0.30,1.00,0.30,0.30,0.00,2.83,0.0%
2025-10-30,16040.30,35465.00,0.25,4,0.30,0.66,0.20,0.30,0.00,2.83,-0.2%
2025-10-31,16032.60,35425.00,-0.11,4,0.30,0.83,0.25,0.30,0.00,2.83,-0.2%
2025-11-03,16037.00,35402.50,-0.28,4,0.30,1.00,0.30,0.30,0.00,2.83,-0.2%
2025-11-04,16036.40,35505.00,-0.28,4,0.30,1.00,0.30,0.30,0.00,2.83,-0.2%
2025-11-05,16098.40,35735.00,-0.25,4,0.30,1.00,0.30,0.30,0.00,2.84,0.0%
2025-11-06,16118.00,35797.50,-0.29,4,0.30,1.00,0.30,0.30,0.00,2.84,0.0%
2025-11-07,15901.40,35325.00,-0.54,4,0.30,0.44,0.13,0.30,0.00,2.83,-0.4%
2025-11-10,16182.50,35835.00,-0.34,4,0.30,0.32,0.10,0.30,0.00,2.84,0.0%
2025-11-11,16388.80,36467.50,-0.11,2,0.00,0.26,0.00,0.00,-0.30,2.85,0.0%
2025-11-12,16615.80,37052.50,0.29,2,0.00,1.00,0.00,0.00,0.00,2.85,0.0%
2025-11-13,16577.40,36940.00,0.19,2,0.00,0.39,0.00,0.00,0.00,2.85,0.0%
2025-11-14,16345.90,36430.00,-0.13,0,0.00,0.30,0.00,0.00,0.00,2.85,0.0%
2025-11-17,16172.60,35942.50,-0.54,0,0.00,0.76,0.00,0.00,0.00,2.85,0.0%
2025-11-18,15827.00,35120.00,-1.17,0,0.00,0.89,0.00,0.00,0.00,2.85,0.0%
2025-11-19,15889.30,35445.00,-1.31,2,0.00,0.29,0.00,0.00,0.00,2.85,0.0%
2025-11-20,15988.90,35600.00,-1.20,2,0.00,0.28,0.00,0.00,0.00,2.85,0.0%
2025-11-21,15821.90,35115.00,-1.41,4,0.30,0.40,0.12,0.00,0.00,2.85,0.0%
2025-11-24,15967.80,35485.00,-1.06,4,0.30,0.38,0.12,0.00,0.00,2.85,0.0%
2025-11-25,16140.90,35767.50,-0.79,4,0.30,0.36,0.11,0.00,0.00,2.85,0.0%
2025-11-26,16361.10,36250.00,-0.20,6,1.00,1.00,1.00,1.00,1.00,2.85,0.0%
2025-11-27,16361.80,36202.50,0.10,6,1.00,0.65,0.65,0.65,-0.35,2.85,-0.1%
2025-11-28,16371.60,36262.50,0.18,6,1.00,0.62,0.62,0.65,0.00,2.85,-0.0%
2025-12-01,16389.00,36400.00,0.16,6,1.00,1.00,1.00,1.00,0.35,2.86,0.0%
2025-12-02,16473.10,36592.50,0.25,6,1.00,1.00,1.00,1.00,0.00,2.87,0.0%
2025-12-03,16585.70,36645.00,0.20,6,1.00,1.00,1.00,1.00,0.00,2.88,0.0%
2025-12-04,16746.60,36932.50,0.31,6,1.00,1.00,1.00,1.00,0.00,2.90,0.0%
2025-12-05,16688.50,36835.00,0.19,6,1.00,0.92,0.92,1.00,0.00,2.89,-0.3%
2025-12-08,16712.20,36850.00,0.28,6,1.00,0.90,0.90,1.00,0.00,2.89,-0.2%
2025-12-09,16734.50,36985.00,0.21,6,1.00,1.00,1.00,1.00,0.00,2.91,0.0%
2025-12-10,16762.50,36977.50,0.13,6,1.00,1.00,1.00,1.00,0.00,2.90,-0.0%
2025-12-11,16883.00,37400.00,0.16,6,1.00,0.82,0.82,1.00,0.00,2.94,0.0%
2025-12-12,16854.40,37375.00,0.28,6,1.00,0.72,0.72,1.00,0.00,2.94,-0.1%
2025-12-15,17041.40,37907.50,0.65,6,1.00,0.63,0.63,0.63,-0.37,2.98,0.0%
2025-12-16,16921.90,37592.50,0.54,6,1.00,0.43,0.43,0.63,0.00,2.96,-0.5%
2025-12-17,16938.20,37612.50,0.49,6,1.00,0.43,0.43,0.63,0.00,2.96,-0.5%
2025-12-18,17132.60,37990.00,0.77,6,1.00,0.53,0.53,0.63,0.00,2.98,0.0%
2025-12-19,17169.80,38140.00,0.86,4,0.30,1.00,0.30,0.30,-0.33,2.99,0.0%
2025-12-22,17158.00,37990.00,0.80,4,0.30,0.69,0.21,0.30,0.00,2.99,-0.1%
