Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-07-18,24289.51,37392.50,-0.25,5,1.00,1.00,1.00,1.00,0.00,8.48,-0.4%
2025-07-21,24307.80,37420.00,-0.26,5,1.00,1.00,1.00,1.00,0.00,8.49,-0.3%
2025-07-22,24041.90,37055.00,-0.39,5,1.00,1.00,1.00,1.00,0.00,8.40,-1.3%
2025-07-23,24240.82,37207.50,-0.06,5,1.00,0.88,0.88,1.00,0.00,8.44,-0.9%
2025-07-24,24295.93,37547.50,-0.01,5,1.00,0.63,0.63,1.00,0.00,8.52,0.0%
2025-07-25,24217.50,37592.50,-0.09,5,1.00,1.00,1.00,1.00,0.00,8.53,0.0%
2025-07-28,23970.36,36870.00,-0.46,5,1.00,0.47,0.47,0.47,-0.53,8.36,-1.9%
2025-07-29,24217.37,37162.50,-0.34,5,1.00,0.43,0.43,0.47,0.00,8.39,-1.6%
2025-07-30,24262.22,37232.50,-0.43,5,1.00,0.43,0.43,0.47,0.00,8.40,-1.5%
2025-07-31,24065.47,36987.50,-0.67,5,1.00,0.83,0.83,0.47,0.00,8.37,-1.8%
2025-08-01,23425.97,36297.50,-1.16,5,1.00,0.64,0.64,0.47,0.00,8.30,-2.6%
2025-08-04,23757.69,36725.00,-0.95,3,0.22,0.45,0.10,0.47,0.00,8.35,-2.1%
2025-08-05,23846.07,36865.00,-0.84,3,0.22,0.44,0.10,0.47,0.00,8.36,-1.9%
2025-08-06,23924.36,37015.00,-0.65,3,0.22,1.00,0.22,0.47,0.00,8.38,-1.7%
2025-08-07,24192.50,37250.00,-0.24,3,0.22,1.00,0.22,0.47,0.00,8.40,-1.4%
2025-08-08,24162.86,37240.00,0.02,3,0.22,1.00,0.22,0.47,0.00,8.40,-1.5%
2025-08-11,24081.34,36990.00,-0.07,5,1.00,0.99,0.99,0.99,0.52,8.38,-1.8%
2025-08-12,24024.78,36905.00,0.15,5,1.00,1.00,1.00,1.00,0.01,8.36,-2.0%
2025-08-13,24185.59,37080.00,0.42,5,1.00,1.00,1.00,1.00,0.00,8.40,-1.5%
2025-08-14,24377.50,37222.50,0.58,5,1.00,1.00,1.00,1.00,0.00,8.43,-1.1%
2025-08-15,24359.30,37360.00,0.71,5,1.00,1.00,1.00,1.00,0.00,8.46,-0.8%
2025-08-18,24314.77,37235.00,0.67,5,1.00,1.00,1.00,1.00,0.00,8.43,-1.1%
2025-08-19,24423.07,37477.50,1.00,5,1.00,1.00,1.00,1.00,0.00,8.49,-0.5%
2025-08-20,24276.97,37315.00,1.00,5,1.00,1.00,1.00,1.00,0.00,8.45,-0.9%
2025-08-21,24293.34,37325.00,0.90,5,1.00,1.00,1.00,1.00,0.00,8.45,-0.9%
2025-08-22,24363.09,37480.00,1.05,5,1.00,1.00,1.00,1.00,0.00,8.49,-0.5%
2025-08-26,24152.87,37110.00,0.41,5,1.00,0.76,0.76,1.00,0.00,8.40,-1.4%
2025-08-27,24046.21,36800.00,0.07,5,1.00,0.76,0.76,1.00,0.00,8.33,-2.3%
2025-08-28,24039.92,36860.00,-0.16,5,1.00,0.81,0.81,1.00,0.00,8.35,-2.1%
2025-08-29,23902.21,36770.00,-0.52,5,1.00,0.97,0.97,1.00,0.00,8.33,-2.3%
2025-09-01,24037.33,36845.00,-0.42,5,1.00,1.00,1.00,1.00,0.00,8.34,-2.1%
2025-09-02,23487.33,36352.50,-0.93,5,1.00,0.64,0.64,1.00,0.00,8.23,-3.5%
2025-09-03,23594.80,36385.00,-0.76,3,0.22,0.49,0.11,0.11,-0.89,8.24,-3.4%
2025-09-04,23770.33,36565.00,-0.54,3,0.22,0.40,0.09,0.11,0.00,8.24,-3.3%
2025-09-05,23596.98,36350.00,-0.52,3,0.22,0.71,0.16,0.11,0.00,8.24,-3.4%
2025-09-08,23807.13,36690.00,-0.11,3,0.22,0.54,0.12,0.11,0.00,8.25,-3.3%
2025-09-09,23718.45,36500.00,-0.33,3,0.22,0.50,0.11,0.11,0.00,8.24,-3.3%
2025-09-10,23632.95,36290.00,-0.48,5,1.00,0.53,0.53,0.53,0.42,8.24,-3.4%
2025-09-11,23703.65,36365.00,-0.37,5,1.00,0.99,0.99,0.99,0.46,8.25,-3.3%
2025-09-12,23698.15,36380.00,-0.63,5,1.00,1.00,1.00,1.00,0.01,8.25,-3.2%
2025-09-15,23748.86,36455.00,-0.56,5,1.00,1.00,1.00,1.00,0.00,8.27,-3.0%
2025-09-16,23329.24,35915.00,-1.04,5,1.00,0.56,0.56,0.56,-0.44,8.14,-4.5%
2025-09-17,23359.18,35945.00,-1.16,5,1.00,0.60,0.60,0.56,0.00,8.15,-4.4%
2025-09-18,23674.53,36535.00,-0.98,5,1.00,0.44,0.44,0.56,0.00,8.22,-3.6%
2025-09-19,23639.41,36577.50,-0.98,5,1.00,0.78,0.78,0.56,0.00,8.23,-3.5%
2025-09-22,23527.05,36430.00,-1.14,5,1.00,0.70,0.70,0.56,0.00,8.21,-3.7%
2025-09-23,23611.33,36597.50,-0.84,5,1.00,1.00,1.00,1.00,0.44,8.23,-3.5%
