Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-12-17,31250.02,20333.00,,4,0.60,1.00,0.60,0.60,0.00,3.23,-0.8%
2025-12-18,31440.85,20673.00,,4,0.60,0.54,0.33,0.60,0.00,3.26,0.0%
2025-12-19,31755.77,20798.00,,4,0.60,0.63,0.38,0.60,0.00,3.27,0.0%
2025-12-22,32000.10,20883.00,,4,0.60,1.00,0.60,0.60,0.00,3.28,0.0%
2025-12-23,32058.73,20849.00,,4,0.60,1.00,0.60,0.60,0.00,3.28,-0.1%
2025-12-24,31999.76,20870.00,,4,0.60,1.00,0.60,0.60,0.00,3.28,-0.0%
2025-12-29,31896.59,20896.00,,4,0.60,1.00,0.60,0.60,0.00,3.28,0.0%
2025-12-30,31866.26,20910.00,,4,0.60,1.00,0.60,0.60,0.00,3.28,0.0%
2025-12-31,31712.76,20807.00,,4,0.60,1.00,0.60,0.60,0.00,3.27,-0.3%
2026-01-02,31883.37,20672.00,,6,1.00,1.00,1.00,1.00,0.40,3.26,-0.7%
2026-01-05,32219.95,20874.00,,6,1.00,0.70,0.70,0.70,-0.30,3.28,-0.1%
2026-01-06,32407.02,20869.00,,6,1.00,0.77,0.77,0.70,0.00,3.28,-0.2%
2026-01-07,32135.49,20756.00,,6,1.00,0.82,0.82,0.70,0.00,3.26,-0.6%
2026-01-08,32378.64,20885.00,,4,0.60,1.00,0.60,0.70,0.00,3.28,-0.2%
2026-01-09,32612.93,21078.00,,2,0.05,0.81,0.04,0.04,-0.66,3.30,0.0%
2026-01-12,32874.70,21116.00,,2,0.05,1.00,0.05,0.04,0.00,3.30,-0.1%
2026-01-13,32870.36,21177.00,,2,0.05,1.00,0.05,0.04,0.00,3.30,-0.1%
2026-01-14,32916.47,21139.00,,2,0.05,1.00,0.05,0.04,0.00,3.30,-0.1%
2026-01-15,33028.92,21349.00,,4,0.60,0.99,0.59,0.59,0.55,3.30,-0.1%
2026-01-16,33040.55,21311.00,,4,0.60,0.86,0.52,0.59,0.00,3.29,-0.2%
2026-01-19,33090.96,21281.00,,4,0.60,0.88,0.53,0.59,0.00,3.29,-0.3%
2026-01-20,32750.28,21197.00,,4,0.60,1.00,0.60,0.59,0.00,3.28,-0.5%
2026-01-21,32851.53,21195.50,,4,0.60,1.00,0.60,0.59,0.00,3.28,-0.5%
2026-01-22,33002.70,21181.50,,4,0.60,1.00,0.60,0.59,0.00,3.28,-0.5%
2026-01-23,33144.98,21192.50,,4,0.60,1.00,0.60,0.59,0.00,3.28,-0.5%
2026-01-26,33093.32,21068.00,,4,0.60,1.00,0.60,0.59,0.00,3.27,-0.9%
2026-01-27,33096.40,21021.00,,4,0.60,1.00,0.60,0.59,0.00,3.27,-1.0%
2026-01-28,33176.07,21021.00,,4,0.60,1.00,0.60,0.59,0.00,3.27,-1.0%
