Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-10-07,9483.58,922.50,0.84,4,0.92,0.62,0.57,0.67,0.00,10.42,-1.3%
2025-10-08,9548.87,928.90,0.95,4,0.92,0.83,0.77,0.67,0.00,10.47,-0.9%
2025-10-09,9509.40,924.80,0.91,4,0.92,0.72,0.66,0.67,0.00,10.44,-1.2%
2025-10-10,9427.47,917.60,0.57,4,0.92,0.67,0.62,0.67,0.00,10.39,-1.7%
2025-10-13,9442.87,918.80,0.60,4,0.92,0.67,0.62,0.67,0.00,10.40,-1.6%
2025-10-14,9452.77,919.60,0.54,4,0.92,0.68,0.62,0.67,0.00,10.40,-1.5%
2025-10-15,9424.75,916.60,0.44,4,0.92,1.00,0.92,0.67,0.00,10.38,-1.8%
2025-10-16,9436.09,918.70,0.40,4,0.92,0.92,0.85,0.67,0.00,10.40,-1.6%
2025-10-17,9354.57,910.70,0.16,4,0.92,0.85,0.78,0.67,0.00,10.34,-2.2%
2025-10-20,9403.57,917.40,0.24,4,0.92,0.66,0.61,0.67,0.00,10.39,-1.7%
2025-10-21,9426.99,919.10,0.46,4,0.92,0.66,0.60,0.67,0.00,10.40,-1.6%
2025-10-22,9515.00,927.70,0.86,4,0.92,0.58,0.54,0.67,0.00,10.46,-1.0%
2025-10-23,9578.57,934.70,1.07,4,0.92,0.57,0.52,0.67,0.00,10.52,-0.5%
2025-10-24,9645.62,940.60,1.38,4,0.92,1.00,0.92,0.67,0.00,10.56,-0.0%
2025-10-27,9653.82,940.90,1.40,4,0.92,1.00,0.92,0.67,0.00,10.56,-0.0%
2025-10-28,9696.74,946.20,1.30,4,0.92,1.00,0.92,0.67,0.00,10.60,0.0%
2025-10-29,9756.14,951.30,1.11,4,0.92,1.00,0.92,0.67,0.00,10.64,0.0%
2025-10-30,9760.06,951.20,0.90,4,0.92,1.00,0.92,0.67,0.00,10.64,-0.0%
2025-10-31,9717.25,947.30,0.45,2,0.00,1.00,0.00,0.00,-0.67,10.61,-0.3%
2025-11-03,9701.37,945.50,0.11,2,0.00,0.98,0.00,0.00,0.00,10.61,-0.3%
2025-11-04,9714.96,946.70,-0.19,2,0.00,1.00,0.00,0.00,0.00,10.61,-0.3%
2025-11-05,9777.08,952.70,-0.02,2,0.00,1.00,0.00,0.00,0.00,10.61,-0.3%
2025-11-06,9735.78,948.40,-0.23,2,0.00,0.93,0.00,0.00,0.00,10.61,-0.3%
2025-11-07,9682.57,943.80,-0.63,2,0.00,0.92,0.00,0.00,0.00,10.61,-0.3%
2025-11-10,9787.15,953.90,-0.36,2,0.00,0.64,0.00,0.00,0.00,10.61,-0.3%
2025-11-11,9899.60,964.60,-0.06,2,0.00,0.56,0.00,0.00,0.00,10.61,-0.3%
2025-11-12,9911.42,965.80,-0.00,2,0.00,0.56,0.00,0.00,0.00,10.61,-0.3%
2025-11-13,9807.68,957.30,-0.23,2,0.00,0.51,0.00,0.00,0.00,10.61,-0.3%
2025-11-14,9698.37,947.40,-0.78,2,0.00,0.46,0.00,0.00,0.00,10.61,-0.3%
2025-11-17,9675.43,944.70,-1.16,2,0.00,0.55,0.00,0.00,0.00,10.61,-0.3%
2025-11-18,9552.30,932.40,-1.62,4,0.92,0.88,0.81,0.81,0.81,10.61,-0.3%
2025-11-19,9507.41,928.40,-1.74,4,0.92,1.00,0.92,0.81,0.00,10.57,-0.6%
2025-11-20,9527.65,930.90,-1.75,4,0.92,0.84,0.77,0.81,0.00,10.60,-0.4%
2025-11-21,9539.71,931.80,-1.72,6,1.00,0.87,0.87,0.81,0.00,10.61,-0.3%
2025-11-24,9534.91,931.30,-1.58,6,1.00,0.87,0.87,0.81,0.00,10.60,-0.4%
2025-11-25,9609.53,939.20,-1.13,6,1.00,1.00,1.00,1.00,0.19,10.67,0.0%
2025-11-26,9691.58,947.70,-0.67,6,1.00,1.00,1.00,1.00,0.00,10.77,0.0%
2025-11-27,9693.93,947.80,-0.42,6,1.00,1.00,1.00,1.00,0.00,10.77,0.0%
2025-11-28,9720.51,950.60,-0.25,6,1.00,1.00,1.00,1.00,0.00,10.80,0.0%
2025-12-01,9702.53,949.10,-0.34,6,1.00,1.00,1.00,1.00,0.00,10.79,-0.2%
2025-12-02,9701.80,949.00,-0.43,6,1.00,1.00,1.00,1.00,0.00,10.79,-0.2%
2025-12-03,9692.07,948.30,-0.52,6,1.00,1.00,1.00,1.00,0.00,10.78,-0.2%
2025-12-04,9710.87,951.00,-0.34,6,1.00,1.00,1.00,1.00,0.00,10.81,0.0%
2025-12-05,9667.01,947.10,-0.34,6,1.00,1.00,1.00,1.00,0.00,10.76,-0.4%
2025-12-08,9645.09,945.20,-0.59,6,1.00,1.00,1.00,1.00,0.00,10.74,-0.6%
2025-12-09,9642.01,944.90,-0.73,6,1.00,1.00,1.00,1.00,0.00,10.74,-0.6%
2025-12-10,9655.53,945.90,-0.85,6,1.00,1.00,1.00,1.00,0.00,10.75,-0.5%
2025-12-11,9703.16,945.60,-0.70,6,1.00,1.00,1.00,1.00,0.00,10.75,-0.6%
2025-12-12,9649.03,940.00,-0.81,6,1.00,1.00,1.00,1.00,0.00,10.68,-1.2%
2025-12-15,9751.31,950.40,-0.38,6,1.00,0.79,0.79,1.00,0.00,10.80,-0.1%
2025-12-16,9684.79,943.70,-0.31,6,1.00,0.69,0.69,1.00,0.00,10.73,-0.8%
2025-12-17,9774.32,951.70,0.10,6,1.00,0.62,0.62,1.00,0.00,10.82,0.0%
2025-12-18,9837.77,957.60,0.59,6,1.00,0.62,0.62,1.00,0.00,10.88,0.0%
2025-12-19,9897.42,963.10,0.84,6,1.00,0.77,0.77,1.00,0.00,10.95,0.0%
2025-12-22,9865.97,959.60,0.77,6,1.00,0.80,0.80,1.00,0.00,10.91,-0.4%
2025-12-23,9889.22,961.90,0.69,6,1.00,1.00,1.00,1.00,0.00,10.93,-0.1%
2025-12-24,9870.68,960.70,0.57,6,1.00,1.00,1.00,1.00,0.00,10.92,-0.2%
2025-12-29,9866.53,960.40,0.60,6,1.00,1.00,1.00,1.00,0.00,10.92,-0.3%
2025-12-30,9940.71,967.40,1.02,4,0.92,1.00,0.92,1.00,0.00,10.99,0.0%
2025-12-31,9931.38,966.70,0.85,4,0.92,1.00,0.92,1.00,0.00,10.99,-0.1%
2026-01-02,9951.14,968.80,0.78,4,0.92,1.00,0.92,1.00,0.00,11.01,0.0%
2026-01-05,10004.57,973.30,0.95,4,0.92,1.00,0.92,1.00,0.00,11.06,0.0%
2026-01-06,10122.73,984.30,1.14,4,0.92,1.00,0.92,1.00,0.00,11.19,0.0%
2026-01-07,10048.21,976.70,1.08,4,0.92,0.75,0.69,1.00,0.00,11.10,-0.8%
2026-01-08,10044.69,977.00,1.02,4,0.92,0.78,0.72,1.00,0.00,11.10,-0.7%
2026-01-09,10124.60,984.70,1.21,2,0.00,0.76,0.00,0.00,-1.00,11.19,0.0%
2026-01-12,10140.70,986.60,1.12,2,0.00,0.74,0.00,0.00,0.00,11.19,0.0%
2026-01-13,10137.35,986.40,0.84,2,0.00,0.98,0.00,0.00,0.00,11.19,0.0%
2026-01-14,10184.35,990.30,0.83,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-15,10238.94,996.00,1.07,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-16,10235.29,997.00,1.00,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-19,10195.35,993.00,0.69,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-20,10126.78,986.40,0.23,2,0.00,0.96,0.00,0.00,0.00,11.19,0.0%
