Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-08-18,7884.06,6863.50,1.04,3,0.18,0.63,0.11,0.45,0.00,2.45,-1.1%
2025-08-19,7979.09,6958.50,1.32,3,0.18,0.51,0.09,0.45,0.00,2.46,-0.5%
2025-08-20,7973.04,6967.50,1.37,3,0.18,0.60,0.11,0.45,0.00,2.47,-0.4%
2025-08-21,7938.30,6929.50,1.04,3,0.18,0.66,0.12,0.45,0.00,2.46,-0.6%
2025-08-22,7969.70,6970.00,1.09,3,0.18,1.00,0.18,0.45,0.00,2.47,-0.4%
2025-08-26,7709.82,6728.00,-0.02,3,0.18,0.36,0.06,0.45,0.00,2.43,-1.9%
2025-08-27,7743.94,6732.00,-0.27,3,0.18,0.35,0.06,0.45,0.00,2.43,-1.9%
2025-08-28,7762.61,6763.00,-0.29,3,0.18,0.37,0.07,0.45,0.00,2.43,-1.7%
2025-08-29,7703.91,6736.00,-0.70,3,0.18,1.00,0.18,0.45,0.00,2.43,-1.9%
2025-09-01,7707.91,6714.00,-0.78,3,0.18,1.00,0.18,0.45,0.00,2.43,-2.0%
2025-09-02,7654.26,6723.00,-1.12,5,1.00,1.00,1.00,1.00,0.55,2.43,-2.0%
2025-09-03,7719.72,6764.50,-0.93,5,1.00,1.00,1.00,1.00,0.00,2.44,-1.3%
2025-09-04,7698.93,6737.00,-0.66,5,1.00,1.00,1.00,1.00,0.00,2.43,-1.7%
2025-09-05,7674.79,6712.50,-0.62,5,1.00,1.00,1.00,1.00,0.00,2.42,-2.1%
2025-09-08,7734.85,6775.00,-0.36,5,1.00,0.99,0.99,1.00,0.00,2.45,-1.2%
2025-09-09,7749.40,6777.50,-0.22,5,1.00,1.00,1.00,1.00,0.00,2.45,-1.2%
2025-09-10,7761.33,6767.50,-0.18,5,1.00,1.00,1.00,1.00,0.00,2.44,-1.3%
2025-09-11,7823.53,6820.50,0.18,5,1.00,1.00,1.00,1.00,0.00,2.46,-0.5%
2025-09-12,7825.25,6818.50,0.19,5,1.00,1.00,1.00,1.00,0.00,2.46,-0.6%
2025-09-15,7896.94,6892.00,0.32,5,1.00,1.00,1.00,1.00,0.00,2.49,0.0%
2025-09-16,7818.23,6837.00,0.06,5,1.00,0.80,0.80,1.00,0.00,2.47,-0.8%
2025-09-17,7786.99,6804.00,-0.08,5,1.00,0.78,0.78,1.00,0.00,2.46,-1.3%
2025-09-18,7854.62,6892.00,0.07,5,1.00,0.68,0.68,1.00,0.00,2.49,0.0%
2025-09-19,7853.59,6911.00,0.17,5,1.00,0.86,0.86,1.00,0.00,2.50,0.0%
2025-09-22,7830.12,6887.00,0.15,5,1.00,0.93,0.93,1.00,0.00,2.49,-0.3%
2025-09-23,7872.03,6949.50,0.18,5,1.00,1.00,1.00,1.00,0.00,2.51,0.0%
2025-09-24,7827.46,6895.00,-0.01,5,1.00,0.84,0.84,1.00,0.00,2.49,-0.8%
2025-09-25,7795.43,6864.00,-0.19,5,1.00,0.82,0.82,1.00,0.00,2.48,-1.2%
2025-09-26,7870.69,6925.50,0.02,5,1.00,0.86,0.86,1.00,0.00,2.50,-0.3%
2025-09-29,7880.88,6963.50,0.06,5,1.00,1.00,1.00,1.00,0.00,2.51,0.0%
2025-09-30,7895.94,6950.00,0.21,5,1.00,1.00,1.00,1.00,0.00,2.51,-0.2%
2025-10-01,7966.96,7021.50,0.29,5,1.00,1.00,1.00,1.00,0.00,2.54,0.0%
2025-10-02,8056.64,7106.50,0.52,5,1.00,0.97,0.97,1.00,0.00,2.57,0.0%
2025-10-03,8081.55,7111.50,0.64,5,1.00,1.00,1.00,1.00,0.00,2.57,0.0%
2025-10-06,7971.79,7006.50,0.34,3,0.18,0.57,0.10,0.10,-0.90,2.53,-1.5%
2025-10-07,7974.86,6999.00,0.15,3,0.18,0.93,0.17,0.10,0.00,2.53,-1.5%
2025-10-08,8060.14,7064.00,0.43,3,0.18,0.68,0.12,0.10,0.00,2.53,-1.4%
2025-10-09,8041.36,7069.00,0.49,3,0.18,1.00,0.18,0.10,0.00,2.53,-1.4%
2025-10-10,7918.01,6967.50,0.08,3,0.18,0.72,0.13,0.10,0.00,2.53,-1.5%
2025-10-13,7934.27,6954.50,0.08,3,0.18,1.00,0.18,0.10,0.00,2.53,-1.6%
2025-10-14,7919.63,6987.00,0.03,3,0.18,0.88,0.16,0.10,0.00,2.53,-1.5%
2025-10-15,8077.01,7111.00,0.18,3,0.18,0.88,0.16,0.10,0.00,2.53,-1.3%
2025-10-16,8188.59,7197.50,0.58,3,0.18,1.00,0.18,0.10,0.00,2.54,-1.2%
2025-10-17,8174.21,7204.50,0.51,3,0.18,1.00,0.18,0.10,0.00,2.54,-1.2%
2025-10-20,8206.08,7214.00,0.76,5,1.00,1.00,1.00,1.00,0.90,2.54,-1.2%
2025-10-21,8258.87,7248.50,0.92,5,1.00,1.00,1.00,1.00,0.00,2.55,-0.7%
2025-10-22,8206.88,7204.00,0.87,5,1.00,1.00,1.00,1.00,0.00,2.53,-1.3%
2025-10-23,8225.79,7254.00,0.85,5,1.00,1.00,1.00,1.00,0.00,2.55,-0.6%
2025-10-24,8225.64,7267.00,0.76,5,1.00,1.00,1.00,1.00,0.00,2.56,-0.4%
2025-10-27,8239.19,7280.00,0.56,5,1.00,1.00,1.00,1.00,0.00,2.56,-0.3%
2025-10-28,8216.59,7296.00,0.49,5,1.00,1.00,1.00,1.00,0.00,2.57,-0.1%
